Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VTI,VTI,VTI,VTI,VTI,VTI,
2023-01-03,185.54302978515625,190.41000366210938,193.36000061035156,188.92999267578125,192.3800048828125,4092500,VTI
2023-01-04,187.18983459472656,192.10000610351562,193.05999755859375,190.13999938964844,191.50999450683594,3852500,VTI
2023-01-05,184.99734497070312,189.85000610351562,191.27000427246094,189.4600067138672,191.22000122070312,4150000,VTI
2023-01-06,189.08026123046875,194.0399932861328,194.63999938964844,189.85000610351562,191.1199951171875,3184300,VTI
2023-01-09,189.15821838378906,194.1199951171875,196.88999938964844,194.00999450683594,195.4600067138672,3888300,VTI
2023-01-10,190.64907836914062,195.64999389648438,195.64999389648438,193.2899932861328,193.64999389648438,2963500,VTI
2023-01-11,193.1631622314453,198.22999572753906,198.25,196.14999389648438,196.5500030517578,3435300,VTI
2023-01-12,194.09860229492188,199.19000244140625,199.8000030517578,196.6300048828125,198.7899932861328,3552700,VTI
2023-01-13,194.92689514160156,200.0399932861328,200.27000427246094,197.3000030517578,197.6199951171875,2798600,VTI
2023-01-17,194.6637725830078,199.77000427246094,200.8800048828125,199.33999633789062,200.0399932861328,5426700,VTI
2023-01-18,191.5943145751953,196.6199951171875,201.08999633789062,196.55999755859375,200.39999389648438,3890200,VTI
2023-01-19,190.03521728515625,195.02000427246094,196.24000549316406,194.32000732421875,195.41000366210938,2282400,VTI
2023-01-20,193.67959594726562,198.75999450683594,198.80999755859375,194.92999267578125,195.85000610351562,2429300,VTI
2023-01-23,196.13519287109375,201.27999877929688,202.16000366210938,198.6999969482422,199.1999969482422,3438100,VTI
2023-01-24,195.81362915039062,200.9499969482422,201.4600067138672,199.74000549316406,200.39999389648438,2679400,VTI
2023-01-25,195.91107177734375,201.0500030517578,201.1999969482422,197.58999633789062,198.9499969482422,2802000,VTI
2023-01-26,197.92816162109375,203.1199951171875,203.27999877929688,200.85000610351562,202.35000610351562,2806200,VTI
2023-01-27,198.72720336914062,203.94000244140625,205.0500030517578,202.5800018310547,202.60000610351562,4521900,VTI
2023-01-30,196.0669708251953,201.2100067138672,203.61000061035156,201.08999633789062,202.27999877929688,2992300,VTI
2023-01-31,199.2046661376953,204.42999267578125,204.49000549316406,201.4499969482422,201.64999389648438,4827600,VTI
2023-02-01,201.6310272216797,206.9199981689453,208.32000732421875,202.50999450683594,203.91000366210938,4385600,VTI
2023-02-02,204.64202880859375,210.00999450683594,210.8800048828125,208.10000610351562,209.0,3730800,VTI
2023-02-03,202.52752685546875,207.83999633789062,210.17999267578125,207.0399932861328,207.50999450683594,2854200,VTI
2023-02-06,201.00743103027344,206.27999877929688,207.07000732421875,205.5,206.41000366210938,2841700,VTI
2023-02-07,203.54095458984375,208.8800048828125,209.55999755859375,205.02999877929688,206.0,3028100,VTI
2023-02-08,201.36793518066406,206.64999389648438,208.7100067138672,206.25999450683594,207.91000366210938,2945400,VTI
2023-02-09,199.4093017578125,204.63999938964844,208.61000061035156,204.10000610351562,208.4600067138672,2705900,VTI
2023-02-10,199.76983642578125,205.00999450683594,205.17999267578125,203.47000122070312,204.02000427246094,2159800,VTI
2023-02-13,202.14749145507812,207.4499969482422,207.5,204.99000549316406,205.41000366210938,3467200,VTI
2023-02-14,202.22544860839844,207.52999877929688,208.66000366210938,205.30999755859375,206.64999389648438,2743400,VTI
2023-02-15,203.13168334960938,208.4600067138672,208.5,206.0399932861328,206.4600067138672,2001600,VTI
2023-02-16,200.42274475097656,205.67999267578125,208.02000427246094,205.5399932861328,205.97000122070312,2458800,VTI
2023-02-17,199.8380584716797,205.0800018310547,205.22999572753906,203.52999877929688,204.77000427246094,2324000,VTI
2023-02-21,195.6967010498047,200.8300018310547,203.5,200.64999389648438,203.14999389648438,3110800,VTI
2023-02-22,195.5310516357422,200.66000366210938,201.9600067138672,199.92999267578125,201.0,3011700,VTI
2023-02-23,196.5736846923828,201.72999572753906,202.4600067138672,199.3800048828125,202.08999633789062,3440100,VTI
2023-02-24,194.38119506835938,199.47999572753906,199.92999267578125,198.16000366210938,199.2899932861328,3020600,VTI
2023-02-27,195.07305908203125,200.19000244140625,202.02999877929688,199.72000122070312,201.30999755859375,2850300,VTI
2023-02-28,194.42019653320312,199.52000427246094,201.0800018310547,199.52000427246094,200.25,2299100,VTI
2023-03-01,194.88790893554688,200.0,200.0,198.1999969482422,199.3800048828125,4176000,VTI
2023-03-02,195.1899871826172,200.30999755859375,200.8000030517578,197.5,197.99000549316406,3364000,VTI
2023-03-03,198.3666534423828,203.57000732421875,203.6999969482422,200.91000366210938,201.0800018310547,2484700,VTI
2023-03-06,198.1035614013672,203.3000030517578,204.97999572753906,203.02999877929688,203.86000061035156,3812700,VTI
2023-03-07,195.1510009765625,200.27000427246094,203.47000122070312,199.9499969482422,203.10000610351562,3346700,VTI
2023-03-08,195.40435791015625,200.52999877929688,201.0,199.39999389648438,200.39999389648438,1985900,VTI
2023-03-09,191.54559326171875,196.57000732421875,201.75,196.1199951171875,200.8000030517578,2974300,VTI
2023-03-10,188.32017517089844,193.25999450683594,197.0,192.25999450683594,196.25,6310500,VTI
2023-03-13,187.5406494140625,192.4600067138672,195.16000366210938,190.17999267578125,190.89999389648438,6253700,VTI
2023-03-14,190.88296508789062,195.88999938964844,196.9499969482422,193.57000732421875,195.5,4473800,VTI
2023-03-15,189.4115753173828,194.3800048828125,194.39999389648438,191.52999877929688,192.6300048828125,3855400,VTI
2023-03-16,192.68568420410156,197.74000549316406,197.91000366210938,192.8000030517578,193.3300018310547,3224900,VTI
2023-03-17,190.2008514404297,195.19000244140625,197.42999267578125,194.3800048828125,197.25,2902400,VTI
2023-03-20,191.85739135742188,196.88999938964844,197.3800048828125,195.2899932861328,195.75,2898100,VTI
2023-03-21,194.59556579589844,199.6999969482422,200.0500030517578,198.22999572753906,198.75999450683594,2421700,VTI
2023-03-22,191.11685180664062,196.1300048828125,201.41000366210938,196.1199951171875,199.85000610351562,2187900,VTI
2023-03-23,191.46511840820312,195.6999969482422,198.9499969482422,194.25,196.85000610351562,2629700,VTI
2023-03-24,192.66848754882812,196.92999267578125,196.97000122070312,193.64999389648438,194.8800048828125,2324800,VTI
2023-03-27,193.15768432617188,197.42999267578125,198.60000610351562,196.9199981689453,198.27000427246094,2425400,VTI
2023-03-28,192.88372802734375,197.14999389648438,197.64999389648438,196.13999938964844,197.1999969482422,3678600,VTI
2023-03-29,195.66229248046875,199.99000549316406,200.08999633789062,198.61000061035156,199.08999633789062,3486500,VTI
2023-03-30,196.71893310546875,201.07000732421875,201.58999633789062,200.1199951171875,201.27000427246094,2259200,VTI
2023-03-31,199.68333435058594,204.10000610351562,204.19000244140625,201.57000732421875,201.57000732421875,2986300,VTI
2023-04-03,200.21165466308594,204.63999938964844,204.99000549316406,203.3300018310547,203.72000122070312,3068200,VTI
2023-04-04,198.87130737304688,203.27000427246094,205.05999755859375,202.52999877929688,205.0,2881800,VTI
2023-04-05,198.14732360839844,202.52999877929688,203.16000366210938,201.5800018310547,202.69000244140625,3119400,VTI
2023-04-06,198.80282592773438,203.1999969482422,203.33999633789062,201.4499969482422,202.24000549316406,1989800,VTI
2023-04-10,199.2528839111328,203.66000366210938,203.67999267578125,201.64999389648438,202.0,2545300,VTI
2023-04-11,199.45831298828125,203.8699951171875,204.63999938964844,203.39999389648438,203.8699951171875,3389300,VTI
2023-04-12,198.61691284179688,203.00999450683594,205.25999450683594,202.7100067138672,205.0,2431200,VTI
2023-04-13,201.19979858398438,205.64999389648438,205.8000030517578,203.33999633789062,203.52999877929688,2197600,VTI
2023-04-14,200.6421356201172,205.0800018310547,206.5,203.80999755859375,205.3300018310547,4142000,VTI
2023-04-17,201.4443817138672,205.89999389648438,205.91000366210938,204.4499969482422,205.02999877929688,2780400,VTI
2023-04-18,201.542236328125,206.0,206.8300018310547,205.3000030517578,206.67999267578125,2784500,VTI
2023-04-19,201.64007568359375,206.10000610351562,206.47999572753906,204.97000122070312,205.02999877929688,2531400,VTI
2023-04-20,200.3877716064453,204.82000732421875,205.77000427246094,204.07000732421875,204.4600067138672,2563100,VTI
2023-04-21,200.56385803222656,205.0,205.24000549316406,203.9199981689453,204.9600067138672,2341600,VTI
2023-04-24,200.6421356201172,205.0800018310547,205.44000244140625,204.10000610351562,204.89999389648438,3704400,VTI
